LIB,CON,BQ, NDP,GRN,OTH
157,143,24,11,1,0
158,142,24,11,1,0
159,142,24,10,1,0
158,143,24,10,1,0
157,144,24,10,1,0
156,144,24,11,1,0
157,143,24,11,1,0
158,143,24,11,1,0
159,143,24,10,1,0
161,141,24,10,1,0
160,141,25,10,1,0
159,142,25,10,1,0
160,142,25,10,1,0
159,143,24,10,1,0
159,144,24,10,1,0
158,145,24,10,1,0
158,145,24,10,2,0
157,146,24,10,2,0
156,146,24,10,2,0
156,147,25,10,2,0
156,148,25,10,1,0
155,149,25,10,1,0
154,149,25,11,1,0
155,149,25,11,1,0
155,148,26,11,1,0
155,149,26,11,1,0
156,148,26,11,1,0
157,148,25,11,1,0
158,147,25,11,1,0
157,148,25,11,1,0
156,149,25,11,1,0
157,149,25,10,1,0
158,148,25,10,1,0
157,149,25,10,1,0
156,150,25,10,1,0
155,151,25,10,1,0
154,152,25,10,1,0
155,151,25,10,1,0
154,151,25,11,1,0
155,150,25,11,1,0
156,149,25,11,1,0
157,148,25,11,1,0
156,149,25,11,1,0
157,148,25,11,1,0
158,147,25,11,1,0
158,148,25,10,1,0
157,149,25,10,1,0
158,148,25,10,1,0
157,149,25,10,1,0
156,150,25,10,1,0
156,149,25,10,2,0
157,148,25,10,2,0
156,149,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
157,148,25,10,2,0
158,147,25,10,2,0
158,148,24,10,2,0
158,149,24,9,2,0
159,148,24,9,2,0
160,147,24,9,2,0
160,148,24,9,1,0
160,147,25,9,1,0
161,146,25,9,1,0
162,146,25,9,1,0
163,146,24,9,1,0
162,147,24,9,1,0
163,146,24,9,1,0
162,147,24,9,1,0
161,147,24,10,1,0
161,148,23,10,1,0
162,147,23,10,1,0
164,146,23,9,1,0
163,147,23,9,1,0
162,148,23,9,1,0
162,149,23,8,1,0
163,148,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
160,151,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0
161,150,23,8,1,0
162,149,23,8,1,0 
163,149,23,7,1,0 
